method,jeanid,sampleid,strength,extension
1,1,1,1266,68.06
1,2,1,1099,61.54
1,3,1,1068,40.48
1,4,1,1266,59.83
1,5,1,968,55.89
1,6,1,1039,54.12
1,7,1,1194,77.09
1,8,1,926,61.8
1,9,1,1009,58.31
1,10,1,1048,71.61
1,11,1,1203,74.4
1,12,1,884,63.38
1,13,1,1069,59.08
1,14,1,1034,73.21
1,15,1,1021,78.6
1,16,1,1022,57.44
1,17,1,1071,88.92
1,18,1,1089,76.77
1,19,1,1197,74.78
1,20,1,1035,71.11
2,21,1,1279,75.52
2,22,1,1197,71.44
2,23,1,1083,44.16
2,24,1,1418,70.56
2,25,1,1273,69.13
2,26,1,1232,62.52
2,27,1,1293,72.62
2,28,1,1121,68.96
2,29,1,1286,71.03
2,30,1,1416,69.34
2,31,1,1285,81.79
2,32,1,1268,69.29
2,33,1,1365,73.73
2,34,1,1309,75.01
2,35,1,1343,75.95
2,36,1,1292,72.64
2,37,1,1234,73.73
2,38,1,1226,75.97
2,39,1,1229,71.6
2,40,1,1254,70.48
1,1,2,1140,63.04
1,2,2,1104,65.2
1,3,2,1051,50.62
1,4,2,1128,56.21
1,5,2,1044,53.51
1,6,2,1303,59.53
1,7,2,1081,60.75
1,8,2,958,60.6
1,9,2,1058,69.8
1,10,2,1077,62.05
1,11,2,956,72.87
1,12,2,1010,59.41
1,13,2,1062,61.71
1,14,2,1073,71.51
1,15,2,1027,68.16
1,16,2,1048,60.76
1,17,2,1101,63.7
1,18,2,1076,80.69
1,19,2,1081,69.65
1,20,2,1084,68.45
2,21,2,1205,71.44
2,22,2,1214,69
2,23,2,1055,47.05
2,24,2,1402,74.5
2,25,2,1310,72.76
2,26,2,1324,73.01
2,27,2,1303,79.82
2,28,2,1083,65.43
2,29,2,1391,69.84
2,30,2,1225,74.16
2,31,2,1396,79.49
2,32,2,1273,75.3
2,33,2,1326,66.65
2,34,2,1393,79.21
2,35,2,1172,73.57
2,36,2,1241,71.8
2,37,2,1292,77.7
2,38,2,1354,73.83
2,39,2,1299,73.59
2,40,2,1202,68.45
1,1,3,1104,61.4
1,2,3,1113,63.44
1,3,3,1063,50.48
1,4,3,1200,63.08
1,5,3,1006,66.7
1,6,3,860,46.39
1,7,3,936,62.76
1,8,3,967,64.72
1,9,3,1018,61.55
1,10,3,1191,69.5
1,11,3,987,73.45
1,12,3,1155,79.59
1,13,3,982,57.91
1,14,3,1064,70.86
1,15,3,1112,68.17
1,16,3,1040,63.46
1,17,3,1075,61.44
1,18,3,1081,73.51
1,19,3,1045,71.19
1,20,3,1077,69.33
2,21,3,1283,78.62
2,22,3,1154,63.06
2,23,3,1117,42.43
2,24,3,1335,71.45
2,25,3,1277,73.41
2,26,3,1313,71.44
2,27,3,1361,74.27
2,28,3,1104,70.42
2,29,3,1450,72.4
2,30,3,1323,75
2,31,3,1315,74.82
2,32,3,1321,77.76
2,33,3,1315,66.9
2,34,3,1386,77.64
2,35,3,1165,75.6
2,36,3,1198,69.73
2,37,3,1223,69.42
2,38,3,1289,80.39
2,39,3,1339,71.4
2,40,3,1266,72.36